Plantago_betapartitivirus	0																																	
YP_007891054.1_Dill_cryptic_virus2	0.14	0																																
YP_007889823.1_Red_clover_cryptic_virus_2	0.19	0.12	0																															
YP_007889821.1_White_clover_cryptic_virus_2	0.16	0.14	0.06	0																														
AWK57380.1_Crimson_clover_cryptic_virus_2	0.12	0.14	0.12	0.14	0																													
YP_007889825.1_Hop_trefoil_cryptic_virus_2	0.14	0.16	0.12	0.1	0.12	0																												
YP_009293586.1_Cannabis_cryptic_virus	0.19	0.16	0.19	0.26	0.16	0.21	0																											
AGJ83769.1_Crimson_clover_cryptic_virus_2	0.12	0.16	0.14	0.16	0.04	0.14	0.19	0																										
YP_003104768.1_Primula_malacoides_virus	0.12	0.1	0.06	0.08	0.06	0.12	0.16	0.08	0																									
AET80948.1_Cannabis_cryptic_virus	0.21	0.19	0.21	0.26	0.19	0.23	0.04	0.21	0.19	0																								
BAM36402.1_Rosellinia_necatrix_partitivirus_4	0.23	0.26	0.26	0.28	0.19	0.23	0.31	0.14	0.21	0.33	0																							
AVD68676.1_Entoleuca_partitivirus_2	0.31	0.33	0.36	0.33	0.28	0.28	0.39	0.26	0.31	0.41	0.21	0																						
BAT24482.1_Rosellinia_necatrix_partitivirus_6	0.36	0.36	0.33	0.31	0.33	0.23	0.39	0.31	0.33	0.41	0.36	0.31	0																					
ATS94415.1_Podosphaera_prunicola_partitivirus_4	0.36	0.39	0.36	0.36	0.33	0.31	0.44	0.36	0.36	0.47	0.39	0.36	0.36	0																				
AFX73019.1_Grapevine_partitivirus	0.39	0.39	0.39	0.41	0.41	0.36	0.47	0.41	0.44	0.54	0.39	0.36	0.39	0.19	0																			
YP_392480.1_Rosellinia_necatrix_partitivirus_1-W8	0.39	0.36	0.28	0.36	0.31	0.31	0.28	0.33	0.33	0.31	0.36	0.39	0.36	0.33	0.39	0																		
AQS27950.1_Lentinula_edodes_partitivirus_1	0.26	0.28	0.23	0.16	0.26	0.19	0.33	0.26	0.23	0.33	0.36	0.36	0.28	0.33	0.36	0.33	0																	
YP_227355.1_Pleurotus_ostreatus_virus_1	0.33	0.41	0.41	0.39	0.39	0.33	0.41	0.44	0.41	0.47	0.44	0.47	0.39	0.31	0.36	0.33	0.41	0																
BAD32677.1_Helicobasidium_mompa_partitivirus_V1-1	0.41	0.44	0.44	0.44	0.44	0.36	0.44	0.47	0.47	0.47	0.47	0.44	0.44	0.36	0.36	0.33	0.41	0.26	0															
AOR51392.1_Partitivirus-like_5	0.5	0.5	0.5	0.54	0.57	0.44	0.47	0.57	0.57	0.54	0.57	0.57	0.47	0.39	0.33	0.36	0.44	0.33	0.41	0														
APG78232.1_Hubei_partiti-like_virus_23	0.79	0.71	0.67	0.71	0.75	0.6	0.71	0.71	0.75	0.71	0.64	0.64	0.67	0.83	0.79	0.79	0.75	0.83	0.88	0.88	0													
APG78329.1_Hubei_partiti-like_virus_24	0.5	0.47	0.5	0.5	0.5	0.5	0.54	0.54	0.47	0.5	0.5	0.54	0.54	0.6	0.64	0.6	0.5	0.67	0.75	0.83	0.67	0												
ALT08065.1_Cucurbitaria_piceae_virus_1	0.64	0.6	0.5	0.5	0.54	0.5	0.64	0.5	0.54	0.64	0.54	0.57	0.5	0.54	0.6	0.44	0.47	0.41	0.54	0.47	0.75	0.83	0											
BAM36401.1_Rosellinia_necatrix_partitivirus_3	0.71	0.67	0.67	0.64	0.71	0.64	0.79	0.67	0.67	0.79	0.6	0.57	0.64	0.79	0.71	0.67	0.71	0.54	0.64	0.64	0.71	0.93	0.26	0										
ACX43952.1_Pleurotus_ostreatus_virus_1	0.41	0.44	0.44	0.44	0.44	0.36	0.47	0.5	0.47	0.54	0.54	0.57	0.47	0.39	0.36	0.39	0.5	0.08	0.23	0.39	0.93	0.79	0.47	0.6	0									
AFR78160.1_Sclerotinia_sclerotiorum_partitivirus_1	0.67	0.71	0.67	0.64	0.75	0.64	0.75	0.71	0.71	0.75	0.71	0.64	0.6	0.67	0.64	0.64	0.67	0.41	0.5	0.54	0.67	0.97	0.23	0.21	0.47	0								
AOX47594.1_Ceratobasidium_partitivirus-like	0.39	0.44	0.41	0.36	0.41	0.33	0.47	0.41	0.41	0.47	0.44	0.33	0.39	0.26	0.31	0.36	0.31	0.39	0.47	0.39	0.79	0.67	0.6	0.71	0.47	0.6	0							
BAT24481.1_Rosellinia_necatrix_partitivirus_6	0.47	0.47	0.44	0.41	0.44	0.33	0.47	0.41	0.44	0.5	0.47	0.39	0.08	0.47	0.5	0.47	0.39	0.5	0.54	0.6	0.75	0.64	0.64	0.75	0.6	0.71	0.5	0						
NP_604475.1_Atkinsonella_hypoxylon_partitivirus	0.75	0.79	0.75	0.75	0.79	0.79	0.79	0.79	0.75	0.75	0.83	0.79	0.83	0.67	0.75	0.71	0.79	0.75	0.75	0.75	0.97	0.83	0.97	1.08	0.83	0.88	0.71	0.93	0					
AAP86639.1_Ceratocystis_polonica_partitivirus	0.83	0.93	0.93	0.93	0.88	0.93	0.88	0.93	0.88	0.83	0.97	0.93	0.97	0.79	0.83	0.83	1.03	0.88	0.75	0.88	1.14	0.88	1.14	1.2	0.88	1.08	0.88	1.08	0.31	0				
YP_001936016.1_Ceratocystis_resinifera_virus_1	0.83	0.93	0.93	0.93	0.88	0.93	0.88	0.93	0.88	0.83	0.97	0.93	0.97	0.83	0.88	0.83	0.97	0.88	0.75	0.88	1.14	0.97	1.14	1.2	0.88	1.08	0.93	1.08	0.36	0.06	0			
YP_001911122.1_Ceratocystis_polonica_partitivirus	0.88	0.97	0.97	0.97	0.93	0.97	0.93	0.97	0.93	0.88	1.03	0.97	1.03	0.88	0.93	0.83	1.03	0.88	0.75	0.88	1.2	0.93	1.14	1.2	0.88	1.08	0.93	1.14	0.33	0.04	0.06	0		
AWK23472.1_Human_blood-associated_partitivirus	0.83	0.83	0.93	0.93	0.88	0.93	0.83	0.88	0.88	0.79	0.88	0.83	0.93	0.75	0.88	0.83	0.93	0.88	0.79	0.88	1.03	0.93	0.97	1.08	0.97	0.93	0.88	1.03	0.31	0.31	0.33	0.33	0	
YP_009388581.1_Wilkie_partiti-like_virus_1	0.88	0.93	0.93	0.97	0.88	0.97	0.88	0.88	0.88	0.83	0.93	0.93	0.97	0.88	0.93	0.79	0.97	0.97	0.97	0.93	1.08	1.03	1.08	1.26	1.08	1.03	0.88	1.08	0.47	0.5	0.5	0.54	0.39	0
